trials.thisRepN	num_distr	target.started	mouse.time	mouse.clicked_name	mouse.leftButton
207	20	567.6324667	0.1268794	target	1
208	15	570.0641123	0.0937762	target	1
209	15	572.2050807	0.0965797	target	1
210	20	576.1868038	0.1247955	target	1
211	20	578.8176051	0.1276677	target	1
212	15	583.335978	0.0987808	target	1
213	20	587.6599155	0.1400546	target	1
214	15	590.8494903	0.0965426	target	1
215	20	593.390114	0.1245933	target	1
216	20	595.982811	0.1263632	target	1
217	15	598.6110473	0.0939303	target	1
218	20	601.468156	0.1267225	target	1
219	20	604.2414764	0.1337425	target	1
220	15	606.4101057	0.0961205	target	1
221	20	609.3274196	0.1276816	target	1
222	15	611.4434677	0.0943401	target	1
223	15	614.050458	0.0942641	target	1
224	15	618.421685	0.0976788	target	1
225	20	622.6863747	0.1272079	target	1
226	15	625.3040125	0.0990532	target	1
227	15	627.4778574	0.0945924	target	1
228	20	629.2182757	0.1327428	target	1
229	20	633.2531183	0.126948	target	1
230	20	635.0264587	0.1278028	target	1
231	20	637.3830546	0.1353941	target	1
232	15	638.8899895	0.094606	target	1
233	20	640.2520107	0.1240341	target	1
234	15	641.5125094	0.0948438	target	1
235	20	644.0827159	0.1292894	target	1
236	15	646.63338	0.0959776	target	1
237	20	649.6772432	0.1259952	target	1
238	15	654.2982178	0.0951594	target	1
239	20	657.6288964	0.1701318	target	1
240	15	660.2400799	0.0944888	target	1
241	20	662.8915524	0.1215404	target	1
242	15	667.1605509	0.0957619	target	1
243	15	669.9755625	0.1010892	target	1
244	20	671.9099157	0.1411675	target	1
245	20	674.6092126	0.1260274	target	1
246	15	676.745385	0.0949718	target	1
247	20	679.3328517	0.1326495	target	1
248	20	682.9345483	0.1325836	target	1
249	15	685.1560233	0.0952897	target	1
250	20	686.8934832	0.1236839	target	1
251	20	688.5395071	0.1250937	target	1
252	20	693.0681164	0.1235336	target	1
253	20	695.3261189	0.1307911	target	1
254	15	698.3477073	0.0974145	target	1
255	15	701.5172531	0.0975614	target	1
256	20	703.6309845	0.1334344	target	1
257	20	707.2532905	0.1233601	target	1
258	15	709.3784291	0.0942393	target	1
259	15	712.6868422	0.0927764	target	1
260	20	715.8429608	0.1253207	target	1
261	15	717.1684499	0.0961571	target	1
262	15	719.8346833	0.0987083	target	1
263	15	721.5076202	0.0958518	target	1
264	15	723.0707687	0.0975802	target	1
265	15	725.6430482	0.0985708	target	1
266	20	728.5516945	0.1245811	target	1
267	15	730.9091631	0.1016988	target	1
268	20	733.7456211	0.1258371	target	1
269	15	735.3345842	0.1025245	target	1
270	20	737.013234	0.1253452	target	1
271	20	739.0049542	0.1250198	target	1
272	15	741.9906303	0.0992796	target	1
273	15	743.8616241	0.0971926	target	1
274	15	745.7862274	0.0956271	target	1
275	20	747.3022958	0.1227544	target	1
276	20	749.4705907	0.126088	target	1
277	15	751.9587076	0.0962319	target	1
278	15	753.8322967	0.096543	target	1
279	20	756.968782	0.1247333	target	1
280	15	759.2723264	0.1047036	target	1
281	15	763.2739007	0.0933281	target	1
282	15	766.3968193	0.1004865	target	1
283	20	768.7473591	0.1362677	target	1
284	20	771.3774169	0.1332129	target	1
285	15	773.2695346	0.0982998	target	1
286	15	775.2103767	0.0944226	target	1
287	15	777.5738766	0.109082	target	1
288	15	780.106853	0.1059486	target	1
289	15	782.3445624	0.0988054	target	1
290	15	783.5637447	0.0961112	target	1
291	20	786.0655691	0.1247536	target	1
292	20	787.6239342	0.1356176	target	1
293	15	789.7621223	0.0943362	target	1
294	15	791.9948492	0.2247973	target	1
295	20	795.5188902	0.1288034	target	1
296	20	798.9702202	0.1276891	target	1
297	15	800.9866122	0.094702	target	1
298	20	803.5891349	0.1265629	target	1
299	15	806.0592136	0.0951056	target	1
300	15	807.6768327	0.0984353	target	1
301	20	811.4167228	0.1235888	target	1
